date,calories_burned
01/11,500.422
01/12,79.21931
02/11,643.06165
03/11,289.56116
04/11,138.42812
05/11,32.523193
06/11,511.21356
07/11,102.93095
09/11,473.28482
10/11,536.8433
11/11,3.3599997
12/11,50.469997
13/11,129.8713
14/11,10.698826
15/11,283.058
16/11,58.113403
17/11,141.63962
18/10,403.83865
18/11,216.36824
19/10,44.781456
19/11,338.74487
20/10,58.293396
20/11,319.23297
21/10,51.784763
21/11,463.98343
22/10,84.149956
22/11,520.1724
23/10,29.40538
23/11,218.30809
24/10,632.7658
24/11,333.65845
25/10,336.72592
25/11,560.78864
26/10,293.55344
26/11,206.69057
27/10,169.75392
27/11,152.9478
28/10,166.63982
28/11,468.35083
29/10,633.54895
29/11,277.93106
30/10,53.771206
30/11,226.81676
31/10,669.3148
